no,tango,kana,en,zh,vi
1759,基づく,もとづく,Be based on,根据、基于,"dựa trên, dựa vào"
1760,求める,もとめる,"Ask, seek, buy",寻求、购买,yêu cầu
1761,物語る,ものがたる,"Tell, relate",讲述、说明,"cho thấy, thể hiện"
1762,もむ,,Massage,按摩、揉,xoa bóp
1763,盛り上がる,もりあがる,"Rise, be excited",隆起、高涨,"trồi lên, phấn khích"
1764,盛る,もる,Serve,盛、装,"chất đầy, xếp đầy"
1765,漏れる,もれる,"Leak out, be left out",漏、排除在外,"xuyên qua, bị loại"
1766,やっつける,,"Beat, defeat",打败、干掉,đánh
1767,破く,やぶく,Tear up,撕碎,xé
1768,敗れる,やぶれる,Be defeated,输、败北,bị đánh bại
1769,横切る,よこぎる,Cross,横过、横穿,chạy ngang trước mặt
1770,よこす,,"Send, give",寄来、打来,nhắn tin
1771,寄せる,よせる,"Come near, bring, extend",靠近、寄予,vỗ vào bờ
1772,呼びかける,よびかける,"Call, urge",呼唤、呼吁,"gọi, kêu gọi"
1773,呼び出す,よびだす,"Call, summon",叫过来,gọi
1774,呼び止める,よびとめる,Hail,叫住,ngăn
1775,略す/略する,りゃくす/りゃくする,Abbreviate,省略、缩写,viết tắt
1776,青白い,あおじろい,Pale,青白色的、苍白的,nhợt nhạt
1777,怪しい,あやしい,"Suspicious, dubious",可疑的、不可靠的,đáng ngờ nghi ngờ
1778,荒い,あらい,"Rough, wild",粗暴的、凶猛的,"dữ dội, hung tợn"
1779,粗い,あらい,"Rough, coarse",粗的、大的,"thô, lổn nhổn"
1780,ありがたい,,Grateful,难得的、值得感谢的,"biết ơn, cảm kích, thật tốt"
1781,慌ただしい,あわただしい,Hurried,匆忙的、不稳定的,"bận rộn, khẩn trương, bồn chồn không yên"
1782,薄暗い,うすぐらい,Dim,昏暗的,"lờ mờ, tối tăm"
1783,うらやましい,,Jealous,令人羡慕的、令人嫉妒的,"ghen tị, thèm muốn"
1784,幼い,おさない,(Very) young,年幼的,"thơ bé, ấu trĩ"
1785,惜しい,おしい,Regrettable,可惜的、遗憾的,đáng tiếc
1786,おめでたい,,"Good (news), joyous",可喜的、可贺的,đáng mừng
1787,重たい,おもたい,Heavy,重的、沉的,nặng
1788,賢い,かしこい,"Smart, clever",聪明的,"thông minh, lanh lợi"
1789,かわいらしい,,"Pretty, cute",可爱的、讨人喜欢的,"dễ thương, đáng yêu"
1790,気味が悪い,きみがわるい,"Creepy, weird",感到可怕的,cảm giác sợ hãi
1791,くだらない,,Worthless,无聊的,ngớ ngẩn
1792,煙い,けむい,Smoky,烟气熏人的、呛人的,có khói
1793,険しい,けわしい,"Steep, severe",险峻的、可怕的,"dốc, khắt khe, nghiêm khắc"
1794,恋しい,こいしい,"Missed, beloved, dear",怀念的、想念的,"nhớ, thương nhớ"
1795,騒がしい,さわがしい,Noisy,吵闹的、嘈杂的,ồn ào
1796,親しい,したしい,"Close, intimate",亲近的、亲密的,thân thiết
1797,しつこい,,"Cloying, insistent",味道浓重的、缠人,"vị đậm(thức ăn), dai dẳng, lằng nhằng"
1798,しょうがない,,It cannot be helped,没办法、无奈的,không có cách nào khác
1799,しょっぱい,,Salty,咸的,mặn
1800,ずうずうしい,,Insolent,厚脸皮的、厚颜无耻的,"trơ tráo, vô liêm sỉ"
1801,すまない,,Sorry,对不起、抱歉,xin lỗi
1802,ずるい,,Sly,狡猾的,"xảo quyệt, xảo trá"
1803,鋭い,するどい,"Sharp, acute",锋利的、敏锐的,"sắc, sắc bén"
1804,騒々しい,そうぞうしい,Noisy,吵闹的、喧嚣的,ồn ã
1805,そそっかしい,,Careless,粗心大意、冒失,"hấp tấp, vội vàng"
1806,頼もしい,たのもしい,Reliable,可靠的,đáng tin
1807,たまらない,,Unbearable,受不了、不能忍受的,"khôn chịu nổi, cực kỳ"
1808,だらしない,,Sloppy,邋遢的、不整洁的,"cẩu thả, luộn thuộm, bẩn"
1809,力強い,ちからづよい,Powerful,有力的,mạnh mẽ
1810,憎い,にくい,Hateful,可憎的、可恶的,"ghét, căm ghét"
1811,憎らしい,にくらしい,Hateful,讨厌的、可憎的,"đáng ghét, ghê tởm"
1812,鈍い,にぶい,"Dull, blunt",钝的、迟钝的,"cùn, chậm chạp"
1813,のろい,,"Slow, dull",懈怠的,"chậm chạp,"
1814,ばからしい,,Foolish,无意义的、无聊的,"vô lý, ngu ngốc"
1815,激しい,はげしい,"Fierce, heavy",激烈的,"dữ dội, khủng khiếp"
1816,幅広い,はばひろい,"Wide, broad",广泛的,"sâu rộng, rộng rãi (nhiều lĩnh vực)"
1817,等しい,ひとしい,Equal,相等的,"bình đẳng, bằng nhau"
1818,ふさわしい,,"Ideal, suitable",适合的、恰当的,thích hợp
1819,待ち遠しい,まちどおしい,Look forward to,焦急等待、盼望已久,"nóng lòng, mong ngóng, trông đợi"
1820,まぶしい,,(Uncomfortably) bright,耀眼的、炫目的、刺眼的,chói
1821,醜い,みにくい,Ugly,丑陋的,"xấu xí, đáng xấu hổ"
1822,めでたい,,"Happy, joyous",可喜可贺的,"hạnh phúc, đáng mừng"
1823,めんどうくさい,,Bothersome,麻烦的,"phiền hà, rắc rối"
1824,物足りない,ものたりない,Inadequate,不够满意的、感到欠缺的,"không đủ, không thỏa mãn"
1825,やかましい,,"Noisy, fastidious",吵闹的、爱唠叨的,"ầm ỹ, phiền phức"
1826,緩い,ゆるい,"Loose, gentle",宽松的、平缓的,"lỏng, thoai thoải"
1827,若々しい,わかわかしい,Youthful,看起来很年轻的,"trẻ trung, đầy sức sống"
1828,あいまい,,"Ambiguous, vague",含糊的,"mập mờ, mơ hồ"
1829,明らか,あきらか,Clear,清楚的、明白的,rõ ràng
1830,悪質,あくしつ,Malicious,性质恶劣,"xấu xa, ác ý"
1831,新た,あらた,New,新的、重新,mới
1832,哀れ,あわれ,Pitiful,可怜的、凄惨的,đáng thương
1833,安易,あんい,Easy,容易的、简单的,dễ dãi
1834,偉大,いだい,Great (prestige),伟大的,"vĩ đại, xuất chúng"
1835,大幅,おおはば,Great (size),大幅度的,"lớn, rộng, nhiều"
1836,主,おも,Main,主要的,chính
1837,温暖,おんだん,"Mild, temperate",温暖的,ôn đới
1838,快適,かいてき,Comfortable,舒适,thoải mái
1839,カジュアル,,Casual,休闲、简便,đời thường
1840,活発,かっぱつ,Lively,活泼的,hoạt bát
1841,空っぽ,からっぽ,Empty,空荡荡的,"rỗng, trống rỗng"
1842,間接的,かんせつてき,Indirect,间接的,gián tiếp
1843,気軽,きがる,Feel free to,轻松愉快、随意的,"khoan khoái, thoải mái (đừng ngại)"
1844,貴重,きちょう,Valuable,珍贵的,quý báu
1845,気の毒,きのどく,Feel sorry for,可怜、凄惨,"đáng thương, không may"
1846,奇妙,きみょう,"Strange, peculiar",奇妙的、奇异的,kỳ lạ
1847,窮屈,きゅうくつ,Cramped,窄小的、狭窄的,"chật chội, chật cứng"
1848,急激,きゅうげき,Dramatic,急剧,"đột biến, đột nhiên...mạnh mẽ"
1849,急速,きゅうそく,Rapid,快速、迅速,"đột nhiên...nhanh chóng, cấp tốc"
1850,器用,きよう,Dexterous,巧的、灵巧的,"khéo tay, có tay nghề"
1851,強力,きょうりょく,Powerful,强力的,mạnh
1852,極端,きょくたん,"Extreme, drastic",极端的,cực đoan
1853,巨大,きょだい,Huge,巨大的,khổng lồ
1854,気楽,きらく,"Carefree, easy",舒服的、轻松的,"thư thái, an nhàn"
1855,勤勉,きんべん,Diligent,勤勉的,chăm chỉ
1856,けち,,Stingy,吝啬的、小气的,keo kiệt
1857,けっこう,,"Pretty, fairly, OK",很好、非常好,được
1858,下品,げひん,Vulgar,粗野的、粗俗的,"khiếm nhã, kém chất lượng"
1859,謙虚,けんきょ,"Humble, modest",谦虚的,khiếm tốn
1860,厳重,げんじゅう,Strict,严重、严肃、严格,"cẩn thận, nghiêm ngặt"
1861,懸命,けんめい,"Hard, gruelling",拼命、奋力,hết mình
1862,強引,ごういん,"Pushy, high-handed",强制、蛮干,"ép buộc, cưỡng ép"
1863,幸運,こううん,"Fortunate, lucky",幸运的,may mắn
1864,豪華,ごうか,"Gorgeous, splendid",豪华的,xa hoa lộng lẫy
1865,高級,こうきゅう,"High-class, luxury",高级的,"cao cấp, hàng"
1866,公正,こうせい,"Fair, just",公正,công bằng
1867,広大,こうだい,Vast,广大的、广阔,rộng lớn
1868,高度,こうど,"Advanced, sophisticated",高度的、高级的,"tiên tiến, hàng đầu"
1869,公平,こうへい,"Fair, equal",公平,công bằng
1870,合理的,ごうりてき,"Rational, reasonable",合理的,"hợp lý, hiệu quả, năng suất"
1871,困難,こんなん,Difficult,困难的,khó khăn
1872,最適,さいてき,"Ideal, perfect",最适合的,"thích hợp, hoàn hảo"
1873,幸い,さいわい,Fortunate,幸运,may mắn
1874,爽やか,さわやか,"Refreshing, bracing",清爽的、爽朗的,"dễ chịu, khoan khoái"
1875,実用的,じつようてき,Practical,实用的,"tính thiết thực, hiệu quả"
1876,社交的,しゃこうてき,Sociable,善于社交的,"tính quảng giao, ưu giao tiếp"
1877,主要,しゅよう,Major,主要的,"quan trọng, chính"
1878,純情,じゅんじょう,"Genuine, innocent",纯真的、天真的,"trong sáng, ngây thơ"
1879,純粋,じゅんすい,Pure,纯粹的,"thuần khiết, trong trẻo"
1880,順調,じゅんちょう,"Smooth, favorable",顺利,"trôi chảy, thuận lợi"
1881,正直,しょうじき,"Honest, frank",诚实、坦率,"chính trực, ngay thẳng"
1882,上等,じょうとう,"Superior, premium",上等的,"hảo hạng, thượng hạng"
1883,上品,じょうひん,"Elegant, graceful",文雅,"thanh lịch, quý phái"
1884,神経質,しんけいしつ,Nervous,神经质,"nhạy cảm, bất ổn"
1885,真剣,しんけん,Serious,认真的,nghiêm túc
1886,深刻,しんこく,"Serious, grave",严重,"trầm trọng, nghiêm trọng"
1887,慎重,しんちょう,Careful,小心、谨慎,cẩn thận
1888,シンプル,,Simple,简洁,đơn giản
1889,垂直,すいちょく,Vertical,垂直,vuông góc
1890,水平,すいへい,"Horizontal, level",水平,mặt phẳng
1891,ストレート,,Straight,直、直接,"thẳng, thẳng thắn"
1892,すなお,,Obedient,直爽,"ngoan ngoãn, dễ bảo"
1893,スマート,,"Chic, neat, alert",时髦的、聪明的,"(hình dáng) thon nhỏ, thông minh"
1894,スリム,,Slim,苗条的、瘦的,mảnh mai
1895,清潔,せいけつ,Clean,干净的,sạch sẽ
1896,正式,せいしき,"Official, formal",正式,chính thức
1897,正常,せいじょう,"Normal, regular",正常,bình thường
1898,切実,せつじつ,Urgent,切实,nghiêm trọng
1899,そっくり,,"True to life, very similar",一模一样,giống hệt
1900,率直,そっちょく,Frank,坦率、直率,"thật thà, ngay thẳng, thẳng thắn"
1901,粗末,そまつ,"Coarse, poor",粗糙的、不精致,"đơn sơ, đạm bạc"
1902,退屈,たいくつ,Boring,无趣、无聊,buồn chán
1903,タイムリー,,Timely,适时、及时,hợp thời
1904,平ら,たいら,"Flat, level",平的、平坦的,bằng phẳng
1905,多様,たよう,Variety of,多样的,"đa dạng, nhiều"
1906,知的,ちてき,Intellectual,智慧的、知性的,"trí tuệ, khôn ngoan,"
1907,抽象的,ちゅうしょうてき,Abstract,抽象的,tính trừu tượng
1908,中途半端,ちゅうとはんぱ,"Halfway, incomplete",半途而废、态度暧昧,giữa chừng
1909,直接的,ちょくせつてき,Direct,直接的,trực tiếp
1910,強気,つよき,"Aggressive, heated",坚决的、强硬的,mạnh mẽ
1911,手軽,てがる,Easy,简单、简便,dễ dàng
1912,的確,てきかく,"Exact, precise",正确、准确,chính xác
1913,適切,てきせつ,"Proper, right",恰当、合适,"phù hợp, thích hợp"
1914,適度,てきど,Moderate,适度、适当,"vừa phải, phù hợp"
1915,凸凹,でこぼこ,"Uneven, rough",凹凸不平、坑洼不平,"gồ ghề, lổn nhổn"
1916,手頃,てごろ,Reasonable,适手的、合适的,"vừa tầm, vừa phải"
1917,でたらめ,,"Nonsensical, random",毫无道理、胡说八道,"nhảm nhỉ, linh tinh"
1918,典型的,てんけいてき,Typical,典型的,mang tính điển hình
1919,透明,とうめい,Transparent,透明的,trong suốt
1920,特殊,とくしゅ,Special,特殊的,đặc biệt
1921,独特,どくとく,Distinctive,独特的,độc đáo
1922,生意気,なまいき,"Cheeky, cocky",自大、傲慢、狂妄,"kiêu ngạo, tinh vi"
1923,滑らか,なめらか,Smooth,平滑、光滑,nhẵn bóng
1924,のんき,,Carefree,不慌不忙、从容不迫,bình tĩnh
1925,ばか,,Fool,笨蛋,ngốc
1926,華やか,はなやか,Splendid,华贵的、华丽的,"lộng lẫy, hào nhoáng"
1927,ひきょう,,Cowardly,卑鄙的,"đê tiện, hèn hạ"
1928,必死,ひっし,"Desperate, hard",必死、拼命,"liều mạng, cố sống cố chết"
1929,微妙,びみょう,Subtle,微妙的,tinh tế
1930,平等,びょうどう,Equal,平等的,"công bằng, bình đẳng"
1931,敏感,びんかん,Sensitive,敏感的,"nhạy cảm, mẫn cảm, thính"
1932,不運,ふうん,Unlucky,不幸的,"bất hạnh, số đen"
1933,不潔,ふけつ,Dirty,不干净,"bẩn, mất vệ sinh"
1934,不自由,ふじゆう,"Inconvenient, not free",不自由、不方便,bất tiện
1935,不順,ふじゅん,Unseasonable,不顺、不好,không thuận lợi
1936,不正,ふせい,"Wrong, unauthorized",不正当,"bất chính, trái phép"
1937,不明,ふめい,Unclear (point),不明白,"không rõ ràng, thắc mắc"
1938,不要,ふよう,Unnecessary,不需要,không cần thiết
1939,不利,ふり,Unfavorable,不利,bất lợi
1940,不良,ふりょう,Bad,不好,không tốt
1941,平気,へいき,"Unconcerned, not minding",没关系、不在乎,"không sao, bình thường"
1942,平行,へいこう,Parallel,平行,song song
1943,平凡,へいぼん,Ordinary,平凡,bình thường
1944,ヘルシー,,Healthy,健康的,lành mạnh
1945,封建的,ほうけんてき,Feudal,封建的,mang tính phong kiến
1946,豊富,ほうふ,Abundant,丰富,phong phú
1947,朗らか,ほがらか,Cheerful,开朗,"phấn khởi, rạng rỡ, vui vẻ"
1948,ホット,,Hot,热的、新鲜的,nóng hổi
1949,本格的,ほんかくてき,"Authentic, real",地道的,đích thực
1950,マイペース,,In your own way,我行我素,chỉ theo ý mình
1951,真ん丸,まんまる,Perfectly round,溜圆,tròn
1952,見事,みごと,"Splendid, brilliant",漂亮、精彩,"tuyệt vời, tuyệt đẹp"
1953,身近,みぢか,"Familiar, close to you",身边的,"thân cận, gần bên người"
1954,密接,みっせつ,"Close, tight",亲密、密切,chặt chẽ
1955,妙,みょう,Strange,奇怪、怪异,kỳ lạ
1956,無口,むくち,Taciturn,沉默寡言,"trầm lặng, ít nói"
1957,明確,めいかく,"Clear, explicit",明确,"rõ ràng, chính xác"
1958,めちゃくちゃ,,Completely messed up,乱七八糟,lộn xộn
1959,モダン,,Modern,现代、近代,hiện đại
1960,有害,ゆうがい,Harmful,有害,có hại
1961,有効,ゆうこう,"Effective, valid",有效,"có hiệu lực, có giá trị"
1962,有能,ゆうのう,"Capable, talented",有才能的,"có năng lực, có khả năng"
1963,有利,ゆうり,"Advantage, asset",有利,có lợi
1964,有力,ゆうりょく,Influential,有力,ảnh hưởng
1965,愉快,ゆかい,"Pleasant, amusing",愉快,"hài hước, vui nhộn"
1966,ユニーク,,Unique,独特,độc đáo
1967,容易,ようい,Easy,容易,dễ dàng
1968,陽気,ようき,Merry,开朗,vui vẻ
1969,幼稚,ようち,Childish,幼稚,"ấu trĩ, trẻ con"
1970,欲張り,よくばり,"Greedy, grasping",贪婪、贪得无厌,tham lam
1971,余計,よけい,"Needless, extra",多余,dư thừa
1972,乱暴,らんぼう,Rough,粗暴,"hỗn loạn, linh linh"
1973,利口,りこう,Clever,聪明、伶俐、机灵,"lanh lợi, mồm mép"
1974,冷静,れいせい,Calm,冷静,bình tĩnh
1975,ロマンチック,,Romantic,浪漫,lãng mạn
1976,わずか,,A little,少,"ít ỏi, một ít"
1977,相変わらず,あいかわらず,As usual,照旧、依然,như thường lệ
1978,飽くまで,あくまで,Persistently,彻底、始终,cho đến cuối cùng
1979,あっさり,,Light (meal),清淡,thanh đạm
1980,改めて,あらためて,Again,重新,thêm một lần nữa
1981,あれこれ,,"This and that, one thing or another",这个那个,"này nọ, linh tinh"
1982,案外,あんがい,Unexpected,意外,"trái dự đoán, không ngờ"
1983,生き生き,いきいき,With enthusiasm,活泼、生气勃勃,"hăng hái, đầy sức sống"
1984,いきなり,,Unexpectedly,突然、马上,"bất ngờ, đột ngột"
1985,いちいち,,"Never fail to, without exception",逐一、全部,"mọi thứ, tất cả"
1986,一応,いちおう,"For the moment, provisionally",大致、大体,tạm thời
1987,一段と,いちだんと,Significantly more,更加、愈发,"ngày càng, hơn hẳn, hơn nữa"
1988,一気に,いっきに,"At a sitting, at one go",一口气、一下子,"một mạch, một hơi, một lèo"
1989,一見,いっけん,At first glance,乍一看,lần đầu gặp
1990,一斉に,いっせいに,All at once,一起,"đồng loạt, cùng lúc, đồng thời"
1991,一層,いっそう,Still more,更加、愈发,hơn hẳn
1992,一体,いったい,"Precisely, just (what)",到底、究竟,"không hiểu, không biết"
1993,一旦,いったん,"Once, briefly",暂且、暂时,"một lát, một lúc"
1994,一般に,いっぱんに,In general,一般来说、普偏地,"nói chung, nhìn chung"
1995,いまに,,"One of these days, before long",不久、早晚,"thậm chí ngay bây giờ, sớm"
1996,いやいや,,Unwillingly,不情愿地、勉强地,miễn cưỡng
1997,うろうろ,,Loiter,徘徊,"đi tha thẩn, đi lòng vòng"
1998,大いに,おおいに,"Grandly, very much",很、非常,"rất, nhiều"
1999,思い切り/思いっ切り,おもいきり/おもいっきり,"Tremendously, hugely",尽情地、痛快地,"thỏa thích, hết mình"
2000,思わず,おもわず,"Unconsciously, instinctively",忍不住、不由得,"bất giác, bất chợt"
2001,およそ/おおよそ,,Approximately,大约,khoảng
2002,折り返し,おりかえし,"By return, (call) back",立刻、马上,lại
2003,がたがた,,"With a bang or jolt, shakily",哆哆嗦嗦地、发抖,lập cập
2004,がたんと,,"With a bang, jolt",咯噔（坚硬物品碰撞声）,"kít lại, sầm"
2005,必ずしも,かならずしも,(Not) necessarily,不一定、未必,"không phải lúc nào cũng, không hẳn là"
2006,からりと,,Bright and clear,明亮开阔、干透,khác hẳn
2007,かりに,,Supposing,假如,giả sử
2008,ぎっしり,,Tightly,满满的,"chật cứng, chật ních"
2009,きっちり,,"Tightly, exactly",紧紧地、精确地,"tròn, vừa vặn, chính xác"
2010,きっぱり,,"Definitely, determinedly",断然、干脆,"thẳng thừng, dứt khoát"
2011,きょろきょろ,,(Look around) restlessly,东张西望,"nhìn quanh, nhìn khắp nơi"
2012,ぎらぎら,,Glaringly,晃眼、闪耀,chói chang
2013,ぎりぎり,,"At the last minute, only just",最大限度、极限,"sát nút, sát giờ,"
2014,くしゃくしゃ,,Ruffle,乱七八糟、蓬乱、皱巴巴,"rối bù, nhăn nhúm, nhàu nát"
2015,くすくす,,Giggle,窃笑,khúc khích
2016,ぐったり,,Stagger with exhaustion,精疲力竭、疲惫,"mệt lử, rã rời, rũ rượi"
2017,ぐらぐら,,"Wobbly, falteringly",摇晃,"rung bần bật, lắc lư mạnh"
2018,くれぐれも,,"Give regards, sincerely",反复、千万,"chân thành, rất mong"
2019,ぐんぐん,,Steadily,讯速地,nhanh chóng
2020,ごく,,Very,非常,"cực kỳ, vô cùng"
2021,ころころ,,Roll along,滚动、骨碌碌,"tròn, lông lốc"
2022,ざあざあ,,"Gurgling, pattering",哗啦啦（雨猛烈降落的声音）,rào rào
2023,再度,さいど,"Again, second time",第二次、再一次,lần nữa
2024,さすが,,As expected,不愧是,"quả thật, đúng là"
2025,さっさと,,Quickly,讯速,nhanh chóng
2026,早速,さっそく,Immediately,马上,"ngay, nhanh"
2027,さっと,,Quickly,忽然、一下子,"đột ngột, lập tức"
2028,ざっと,,"Roughly, in outline",粗略、大概,"lướt, tóm tắt, khoảng chừng"
2029,さっぱり,,"Freshly, neatly, not at all",清爽、完全,"sảng khoái, hoàn toàn"
2030,さらさら,,"Smooth, silky",流利地、柔顺的,"mượt mà, trơn tru"
2031,さらに①,,"Even ~er, still more",更加,hơn
2032,至急,しきゅう,Urgent,尽快、火速,"khẩn cấp, gấp"
2033,しくしく,,Sob,抽抽搭搭地,thút thít
2034,しじゅう,,Constantly,始终,"liên tục, từ đầu đến cuối"
2035,じっくり,,"Deliberately, carefully",慢慢地、仔细地,"cẩn thận, kĩ lưỡng"
2036,実に,じつに,Indeed,实在是,"quả thực, vô cùng, thật sự"
2037,しばしば,,Often,屡次,"thường xuyên, hay"
2038,しみじみ,,Seriously,深切地,"sâu sắc, thấm thía"
2039,じめじめ,,"Wet, damp, muggy",潮湿、湿润,"ẩm ướt, ảm đạm, nhớp nháp"
2040,主として,しゅとして,Principally,主要,chủ yếu
2041,徐々に,じょじょに,Gradually,慢慢地、逐渐,dần dần
2042,しょっちゅう,,Constantly,经常、总是,thường xuyên
2043,じろじろ,,Staringly,无所顾忌地盯视,chằm chằm
2044,少なくとも,すくなくとも,At least,至少,ít nhất
2045,すっきり,,Neatly,整洁、舒畅,"gọn gàng sạch sẽ, tươm tất"
2046,すっと,,Straightaway,迅速地、一下子,nhanh chóng
2047,すでに,,Already,已经,đã
2048,ずらりと,,In a row,排成排,thành hàng
2049,精いっぱい,せいいっぱい,"Earnest, hard",竭尽全力,hết mình
2050,せいぜい,,"At best, at most",最多,"tối đa, nhiều nhất có thể"
2051,せっせと,,"Hard, busily",勤勤恳恳地,"siêng năng, cần cù"
2052,ぜひとも,,By all means,无论如何、务必,"nhất định, bằng mọi cách"
2053,せめて,,At least,起码、至少,ít nhất
2054,相当,そうとう,"Considerably, quite",很、相当,tương đối
2055,続々,ぞくぞく,"A string of, one after another",陆续、接着,liên tiếp
2056,ぞろぞろ,,In groups,陆陆续续,rậm rịch
2057,大概,たいがい,Mostly,大概、差不多,"đại khái, khoảng"
2058,大して,たいして,"Really not that, not very",接否定、表示并不太……、并不怎么……,không…lắm
2059,大層,たいそう,"Really, awfully",很、甚、非常,"vô cùng, quá"
2060,絶えず,たえず,Constantly,不断、不绝,"không dứt, thường xuyên"
2061,多少,たしょう,Somewhat,多少、稍微,"ít nhiều, hơi"
2062,ただ①,,"Just, only, nothing but",只、仅,"chỉ, toàn"
2063,ただいま,,Just now,刚刚,hiện giờ
2064,直ちに,ただちに,Immediately,立刻、立即,ngay lập tức
2065,たちまち,,"Immediately, instantly",马上、顷刻,"nhanh chóng, ngay tức thì"
2066,たっぷり,,Plenty,充分、足够,"nhiều, đầy đủ"
2067,だぶだぶ,,"Loose, baggy",肥大、宽松,thùng thình
2068,たまたま,,By chance,偶然、碰巧,"tình cờ, ngẫu nhiên"
2069,だらだら,,"Trickle, be sloppy",滴滴答答地、拖拖拉拉地,"tong tỏng, lê thê"
2070,単に,たんに,"Simply, only",只、仅,chỉ là
2071,着々と,ちゃくちゃくと,Steadily,稳步而顺利地,dần dần vững chắc
2072,ちらちら,,"Lightly, glimpse",纷纷、瞟,"lả tả, thấp thoáng"
2073,つい,,"Unguardedly, inadvertantly",不知不觉,lỡ
2074,次いで,ついで,Then,接着、随后,"kế tiếp, tiếp theo"
2075,ついに,,Finally,最终、终于,cuối cùng
2076,常に,つねに,Always,经常地、总是,"thường, luôn"
2077,点々と,てんてんと,"In bits and pieces, in a scattered way",星星点点,"rải rác, lấm tấm"
2078,堂々と,どうどうと,"Proudly, assertively",威严庄重、坦荡,đoàng hoàng
2079,当分,とうぶん,For the time being,暂时、一时,trong một thời gian
2080,とっくに,,Long before,很早、早就,trước đây đã lâu
2081,どっと,,All at once,一时间大量出现,bất chợt ùn tới
2082,とにかく/ともかく,,"Anyway, anyhow",总之、姑且,dẫu sao
2083,共に,ともに,Both,一起、共同,"cùng với, cùng nhau"
2084,とりあえず,,"Just, for the moment, anyway",暂时、姑且,trước tiên
2085,とんとん,,Knocking sound,咚咚（敲打声）,cộc cộc
2086,何も,なにも,"Not necessarily, no need to",并（不）、（不）必,không việc gì
2087,何より,なにより,More than anything,再好不过、最好,hơn bất cứ thứ gì
2088,何だか,なんだか,"Somehow, without any particular reason",总觉得,có điều gì đó
2089,何と,なんと,"Believe it or not, surprisingly",竟然,thật
2090,何とか,なんとか,"Somehow, in some way",想办法、设法,dù thế nào đi nữa
2091,何とも,なんとも,"Really, downright",真的、实在,rất
2092,伸び伸び,のびのび,Free and easy,悠闲、悠然自得,"thoải mái, thong dong"
2093,のろのろ,,Slow,慢悠悠,chầm chậm
2094,果たして,はたして,"Really, (what/how) on earth, sure enough",到底,"rốt cuộc, thật sự"
2095,ぱちぱち,,"Crackling, blink",噼噼啪啪、不停眨眼的样子,"(vỗ tay) bộp bộp, nháy mắt"
2096,ばったり,,"With a thud, run into",突然倒下、突然遇见,"bất ngờ, bất thình lình"
2097,ぱっと,,"In a flash, instantly",突然、一下子,"xòe ra, mở rộng ra"
2098,はらはら,,On tenterhooks,担心、忧虑,tim đập thình thịch
2099,比較的,ひかくてき,"Relatively, comparatively",比较,tương đối
2100,びっしょり,,Drenched,湿透,"ướt đẫm, nhễ nhại"
2101,一通り,ひととおり,"Skim over, look through",粗略、大概,một lượt
2102,ひとりでに,,By itself,自动地,tự nhiên
2103,ひょっとしたら,,Possibly,也许、说不定,có lẽ
2104,広々,ひろびろ,Spacious,宽敞、广阔,rộng rãi
2105,再び,ふたたび,Again,再、又、重,lại
2106,ふだん,,Usually,平时,thường ngày
2107,ぶつぶつ,,"Mutter, grumble",嘟哝、发牢骚,"lầm bầm, càu nhàu"
2108,ふと,,"By chance, unintentionally",偶然、突然,bất chợt ùn tới
2109,ぶるぶる,,Trembling,发抖、哆嗦,lập cập
2110,ふわふわ,,"Fluffy, light",软绵绵、轻飘飘,"êm ái, lơ lửng"
2111,べたべた,,"Sticky, clinging",黏糊糊、纠缠在一起,"dinh dính, bám lấy"
2112,別に,べつに,(Not) particularly,没什么特别的,không có gì đặc biệt
2113,ぽかぽか,,Nice and warm,温暖、暖洋洋,ấp áp dễ chịu
2114,ぽたぽた,,In drops,滴滴答答,"rơi tí tách, nhỏ giọt"
2115,ほぼ,,Almost,大体上,"gần như đã, hầu hết"
2116,ぼろぼろ,,"Dribble food, crumble",一颗一颗地往下掉,vương vãi
2117,本来,ほんらい,"Originally, from the first",本来、向来,"về bản chất, về cơ bản"
2118,前もって,まえもって,In advance,预先、事先,trước
2119,まさか,,No way,莫非,chắc chắn...không
2120,正に,まさに,Exactly,的确、确实,đúng như
2121,ますます,,More and more,愈来愈,càng
2122,まるまる,,"Tubby, whole",溜圆、完全、全部,"béo tròn, tất cả, toàn bộ"
2123,万一,まんいち,In the unlikely event of,万一,"Vạn nhất, nhỡ"
2124,自ら,みずから,Oneself,亲自,"chính mình, tự mình"
2125,むかむか,,Queasy,恶心（想呕吐状）,nộn nạo
2126,むしむし,,Muggy,闷热,nóng ẩm
2127,むしろ,,Rather,与其……不如……,thà
2128,もうじき,,Soon,马上、就要,"sắp, sắp sửa"
2129,もともと,,Originally,原本、本来,"vốn là, nguyên là"
2130,やがて,,In due course,不久,chẳng mấy chốc
2131,やや,,Slightly,稍稍、些许,hơi
2132,ようやく,,At last,终于,cuối cùng
2133,よほど,,"Greatly, hard",很、颇、相当,"nhiều, hết sức"
2134,より,,More,更,hơn
2135,わざと,,On purpose,故意、有意,cố tình
2136,わざわざ,,Take the trouble to,特地,cất công
2137,割に/割と,わりに/わりと,Relatively,意外、比较地,tương đối
2138,明くる,あくる,"Next, following",翌、第二,"tiếp theo, sau"
2139,あらゆる,,Every,所有的、一切的,mọi
2140,いわゆる,,"So-called, otherwise known as, is said to be",所谓的、世人所说的,được gọi là
